Date, ZC025YR, ZC050YR, ZC075YR, ZC100YR, ZC125YR, ZC150YR, ZC175YR, ZC200YR, ZC225YR, ZC250YR, ZC275YR, ZC300YR, ZC325YR, ZC350YR, ZC375YR, ZC400YR, ZC425YR, ZC450YR, ZC475YR, ZC500YR, ZC525YR, ZC550YR, ZC575YR, ZC600YR, ZC625YR, ZC650YR, ZC675YR, ZC700YR, ZC725YR, ZC750YR, ZC775YR, ZC800YR, ZC825YR, ZC850YR, ZC875YR, ZC900YR, ZC925YR, ZC950YR, ZC975YR, ZC1000YR, ZC1025YR, ZC1050YR, ZC1075YR, ZC1100YR, ZC1125YR, ZC1150YR, ZC1175YR, ZC1200YR, ZC1225YR, ZC1250YR, ZC1275YR, ZC1300YR, ZC1325YR, ZC1350YR, ZC1375YR, ZC1400YR, ZC1425YR, ZC1450YR, ZC1475YR, ZC1500YR, ZC1525YR, ZC1550YR, ZC1575YR, ZC1600YR, ZC1625YR, ZC1650YR, ZC1675YR, ZC1700YR, ZC1725YR, ZC1750YR, ZC1775YR, ZC1800YR, ZC1825YR, ZC1850YR, ZC1875YR, ZC1900YR, ZC1925YR, ZC1950YR, ZC1975YR, ZC2000YR, ZC2025YR, ZC2050YR, ZC2075YR, ZC2100YR, ZC2125YR, ZC2150YR, ZC2175YR, ZC2200YR, ZC2225YR, ZC2250YR, ZC2275YR, ZC2300YR, ZC2325YR, ZC2350YR, ZC2375YR, ZC2400YR, ZC2425YR, ZC2450YR, ZC2475YR, ZC2500YR, ZC2525YR, ZC2550YR, ZC2575YR, ZC2600YR, ZC2625YR, ZC2650YR, ZC2675YR, ZC2700YR, ZC2725YR, ZC2750YR, ZC2775YR, ZC2800YR, ZC2825YR, ZC2850YR, ZC2875YR, ZC2900YR, ZC2925YR, ZC2950YR, ZC2975YR, ZC3000YR, 
2019-01-01, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, 
2019-01-02, 0.0165424000, 0.0178038000, 0.0184038000, 0.0190039000, 0.0183389000, 0.0184074000, 0.0184530000, 0.0184841000, 0.0185055000, 0.0185205000, 0.0185310000, 0.0185385000, 0.0185443000, 0.0185492000, 0.0185539000, 0.0185590000, 0.0185649000, 0.0185722000, 0.0185811000, 0.0185920000, 0.0186050000, 0.0186203000, 0.0186383000, 0.0186588000, 0.0186821000, 0.0187083000, 0.0187372000, 0.0187691000, 0.0188038000, 0.0188414000, 0.0188817000, 0.0189248000, 0.0189705000, 0.0190188000, 0.0190695000, 0.0191226000, 0.0191778000, 0.0192352000, 0.0192944000, 0.0193555000, 0.0194182000, 0.0194823000, 0.0195478000, 0.0196143000, 0.0196819000, 0.0197503000, 0.0198193000, 0.0198888000, 0.0199586000, 0.0200285000, 0.0200985000, 0.0201683000, 0.0202377000, 0.0203067000, 0.0203751000, 0.0204427000, 0.0205095000, 0.0205752000, 0.0206398000, 0.0207031000, 0.0207651000, 0.0208256000, 0.0208846000, 0.0209419000, 0.0209974000, 0.0210512000, 0.0211030000, 0.0211530000, 0.0212009000, 0.0212468000, 0.0212906000, 0.0213323000, 0.0213719000, 0.0214093000, 0.0214445000, 0.0214775000, 0.0215083000, 0.0215370000, 0.0215635000, 0.0215879000, 0.0216101000, 0.0216302000, 0.0216483000, 0.0216643000, 0.0216784000, 0.0216905000, 0.0217008000, 0.0217092000, 0.0217159000, 0.0217209000, 0.0217243000, 0.0217260000, 0.0217263000, 0.0217252000, 0.0217228000, 0.0217190000, 0.0217141000, 0.0217081000, 0.0217010000, 0.0216930000, 0.0216841000, 0.0216745000, 0.0216641000, 0.0216531000, 0.0216416000, 0.0216296000, 0.0216172000, 0.0216044000, 0.0215915000, 0.0215784000, 0.0215651000, 0.0215518000, 0.0215386000, 0.0215255000, 0.0215125000, 0.0214997000, 0.0214872000, 0.0214749000, 0.0214631000, 0.0214517000, 
2019-01-03, 0.0164376000, 0.0176850000, 0.0181825000, 0.0186800000, 0.0175814000, 0.0175919000, 0.0175928000, 0.0175890000, 0.0175832000, 0.0175768000, 0.0175709000, 0.0175660000, 0.0175626000, 0.0175610000, 0.0175615000, 0.0175642000, 0.0175694000, 0.0175772000, 0.0175877000, 0.0176010000, 0.0176171000, 0.0176361000, 0.0176582000, 0.0176831000, 0.0177111000, 0.0177421000, 0.0177761000, 0.0178131000, 0.0178530000, 0.0178957000, 0.0179413000, 0.0179896000, 0.0180405000, 0.0180940000, 0.0181499000, 0.0182081000, 0.0182685000, 0.0183310000, 0.0183954000, 0.0184616000, 0.0185295000, 0.0185988000, 0.0186695000, 0.0187413000, 0.0188141000, 0.0188878000, 0.0189622000, 0.0190372000, 0.0191125000, 0.0191879000, 0.0192635000, 0.0193389000, 0.0194141000, 0.0194889000, 0.0195631000, 0.0196366000, 0.0197093000, 0.0197810000, 0.0198516000, 0.0199210000, 0.0199890000, 0.0200557000, 0.0201207000, 0.0201841000, 0.0202458000, 0.0203056000, 0.0203636000, 0.0204195000, 0.0204734000, 0.0205252000, 0.0205749000, 0.0206224000, 0.0206676000, 0.0207106000, 0.0207513000, 0.0207897000, 0.0208258000, 0.0208596000, 0.0208911000, 0.0209203000, 0.0209472000, 0.0209718000, 0.0209942000, 0.0210144000, 0.0210325000, 0.0210484000, 0.0210622000, 0.0210741000, 0.0210839000, 0.0210919000, 0.0210980000, 0.0211023000, 0.0211049000, 0.0211059000, 0.0211053000, 0.0211033000, 0.0210998000, 0.0210950000, 0.0210890000, 0.0210818000, 0.0210735000, 0.0210643000, 0.0210541000, 0.0210432000, 0.0210314000, 0.0210191000, 0.0210061000, 0.0209927000, 0.0209788000, 0.0209646000, 0.0209502000, 0.0209356000, 0.0209208000, 0.0209060000, 0.0208913000, 0.0208766000, 0.0208621000, 0.0208478000, 0.0208338000, 0.0208201000, 
2019-01-04, 0.0163567000, 0.0177909000, 0.0182888000, 0.0187868000, 0.0182448000, 0.0182994000, 0.0183324000, 0.0183528000, 0.0183656000, 0.0183740000, 0.0183800000, 0.0183851000, 0.0183902000, 0.0183962000, 0.0184037000, 0.0184130000, 0.0184245000, 0.0184385000, 0.0184551000, 0.0184745000, 0.0184968000, 0.0185220000, 0.0185501000, 0.0185812000, 0.0186152000, 0.0186521000, 0.0186918000, 0.0187342000, 0.0187793000, 0.0188269000, 0.0188769000, 0.0189292000, 0.0189836000, 0.0190401000, 0.0190984000, 0.0191585000, 0.0192202000, 0.0192832000, 0.0193476000, 0.0194131000, 0.0194795000, 0.0195467000, 0.0196146000, 0.0196831000, 0.0197518000, 0.0198208000, 0.0198898000, 0.0199588000, 0.0200275000, 0.0200960000, 0.0201639000, 0.0202313000, 0.0202979000, 0.0203637000, 0.0204286000, 0.0204925000, 0.0205552000, 0.0206167000, 0.0206768000, 0.0207356000, 0.0207929000, 0.0208487000, 0.0209028000, 0.0209553000, 0.0210061000, 0.0210551000, 0.0211023000, 0.0211476000, 0.0211911000, 0.0212327000, 0.0212723000, 0.0213100000, 0.0213457000, 0.0213795000, 0.0214113000, 0.0214412000, 0.0214691000, 0.0214951000, 0.0215191000, 0.0215413000, 0.0215615000, 0.0215799000, 0.0215965000, 0.0216113000, 0.0216244000, 0.0216358000, 0.0216454000, 0.0216535000, 0.0216600000, 0.0216649000, 0.0216684000, 0.0216705000, 0.0216712000, 0.0216706000, 0.0216688000, 0.0216657000, 0.0216615000, 0.0216563000, 0.0216500000, 0.0216428000, 0.0216347000, 0.0216257000, 0.0216160000, 0.0216056000, 0.0215945000, 0.0215829000, 0.0215707000, 0.0215580000, 0.0215449000, 0.0215314000, 0.0215177000, 0.0215036000, 0.0214894000, 0.0214750000, 0.0214605000, 0.0214459000, 0.0214313000, 0.0214167000, 0.0214022000, 0.0213878000, 
2019-01-07, 0.0163123000, 0.0177336000, 0.0183330000, 0.0189324000, 0.0185315000, 0.0186027000, 0.0186464000, 0.0186736000, 0.0186904000, 0.0187008000, 0.0187072000, 0.0187114000, 0.0187149000, 0.0187186000, 0.0187232000, 0.0187293000, 0.0187373000, 0.0187476000, 0.0187605000, 0.0187761000, 0.0187946000, 0.0188161000, 0.0188407000, 0.0188683000, 0.0188989000, 0.0189326000, 0.0189692000, 0.0190088000, 0.0190511000, 0.0190961000, 0.0191437000, 0.0191938000, 0.0192461000, 0.0193006000, 0.0193572000, 0.0194156000, 0.0194757000, 0.0195373000, 0.0196004000, 0.0196646000, 0.0197299000, 0.0197961000, 0.0198630000, 0.0199305000, 0.0199984000, 0.0200666000, 0.0201349000, 0.0202031000, 0.0202712000, 0.0203390000, 0.0204063000, 0.0204730000, 0.0205391000, 0.0206043000, 0.0206686000, 0.0207319000, 0.0207941000, 0.0208550000, 0.0209146000, 0.0209729000, 0.0210296000, 0.0210848000, 0.0211385000, 0.0211904000, 0.0212406000, 0.0212891000, 0.0213357000, 0.0213806000, 0.0214235000, 0.0214645000, 0.0215037000, 0.0215408000, 0.0215761000, 0.0216094000, 0.0216408000, 0.0216702000, 0.0216977000, 0.0217232000, 0.0217469000, 0.0217687000, 0.0217887000, 0.0218068000, 0.0218231000, 0.0218377000, 0.0218505000, 0.0218617000, 0.0218713000, 0.0218793000, 0.0218857000, 0.0218906000, 0.0218942000, 0.0218963000, 0.0218971000, 0.0218967000, 0.0218950000, 0.0218922000, 0.0218883000, 0.0218833000, 0.0218774000, 0.0218706000, 0.0218629000, 0.0218544000, 0.0218452000, 0.0218353000, 0.0218249000, 0.0218138000, 0.0218022000, 0.0217902000, 0.0217778000, 0.0217651000, 0.0217521000, 0.0217388000, 0.0217254000, 0.0217118000, 0.0216981000, 0.0216844000, 0.0216707000, 0.0216570000, 0.0216434000, 0.0216298000, 
2019-01-08, 0.0163161000, 0.0175527000, 0.0182021000, 0.0188516000, 0.0186196000, 0.0187090000, 0.0187676000, 0.0188070000, 0.0188336000, 0.0188518000, 0.0188642000, 0.0188730000, 0.0188796000, 0.0188852000, 0.0188906000, 0.0188967000, 0.0189040000, 0.0189129000, 0.0189238000, 0.0189370000, 0.0189528000, 0.0189713000, 0.0189927000, 0.0190171000, 0.0190445000, 0.0190749000, 0.0191084000, 0.0191448000, 0.0191843000, 0.0192266000, 0.0192717000, 0.0193196000, 0.0193700000, 0.0194228000, 0.0194780000, 0.0195354000, 0.0195947000, 0.0196560000, 0.0197189000, 0.0197833000, 0.0198491000, 0.0199161000, 0.0199841000, 0.0200530000, 0.0201225000, 0.0201926000, 0.0202630000, 0.0203335000, 0.0204041000, 0.0204746000, 0.0205448000, 0.0206146000, 0.0206838000, 0.0207523000, 0.0208200000, 0.0208867000, 0.0209524000, 0.0210168000, 0.0210800000, 0.0211417000, 0.0212020000, 0.0212607000, 0.0213178000, 0.0213731000, 0.0214266000, 0.0214782000, 0.0215280000, 0.0215758000, 0.0216215000, 0.0216653000, 0.0217070000, 0.0217466000, 0.0217840000, 0.0218194000, 0.0218527000, 0.0218838000, 0.0219128000, 0.0219397000, 0.0219645000, 0.0219873000, 0.0220080000, 0.0220267000, 0.0220434000, 0.0220581000, 0.0220710000, 0.0220821000, 0.0220913000, 0.0220987000, 0.0221045000, 0.0221086000, 0.0221112000, 0.0221122000, 0.0221118000, 0.0221100000, 0.0221068000, 0.0221024000, 0.0220968000, 0.0220901000, 0.0220824000, 0.0220736000, 0.0220640000, 0.0220535000, 0.0220422000, 0.0220303000, 0.0220177000, 0.0220045000, 0.0219909000, 0.0219768000, 0.0219624000, 0.0219476000, 0.0219326000, 0.0219175000, 0.0219022000, 0.0218868000, 0.0218715000, 0.0218561000, 0.0218409000, 0.0218257000, 0.0218108000, 0.0217961000, 
2019-01-09, 0.0163317000, 0.0175901000, 0.0183415000, 0.0190929000, 0.0187418000, 0.0188446000, 0.0189147000, 0.0189637000, 0.0189986000, 0.0190236000, 0.0190417000, 0.0190551000, 0.0190655000, 0.0190742000, 0.0190820000, 0.0190900000, 0.0190987000, 0.0191086000, 0.0191202000, 0.0191339000, 0.0191499000, 0.0191685000, 0.0191898000, 0.0192140000, 0.0192411000, 0.0192712000, 0.0193042000, 0.0193402000, 0.0193791000, 0.0194209000, 0.0194655000, 0.0195127000, 0.0195625000, 0.0196147000, 0.0196692000, 0.0197259000, 0.0197845000, 0.0198449000, 0.0199070000, 0.0199706000, 0.0200355000, 0.0201016000, 0.0201686000, 0.0202364000, 0.0203049000, 0.0203738000, 0.0204430000, 0.0205123000, 0.0205816000, 0.0206507000, 0.0207195000, 0.0207878000, 0.0208554000, 0.0209224000, 0.0209884000, 0.0210534000, 0.0211173000, 0.0211800000, 0.0212413000, 0.0213012000, 0.0213596000, 0.0214164000, 0.0214715000, 0.0215248000, 0.0215764000, 0.0216260000, 0.0216737000, 0.0217195000, 0.0217633000, 0.0218050000, 0.0218447000, 0.0218823000, 0.0219178000, 0.0219512000, 0.0219825000, 0.0220117000, 0.0220389000, 0.0220640000, 0.0220870000, 0.0221081000, 0.0221271000, 0.0221442000, 0.0221593000, 0.0221726000, 0.0221840000, 0.0221937000, 0.0222016000, 0.0222079000, 0.0222125000, 0.0222155000, 0.0222170000, 0.0222171000, 0.0222158000, 0.0222132000, 0.0222093000, 0.0222043000, 0.0221981000, 0.0221909000, 0.0221828000, 0.0221737000, 0.0221637000, 0.0221531000, 0.0221417000, 0.0221296000, 0.0221170000, 0.0221039000, 0.0220904000, 0.0220765000, 0.0220623000, 0.0220478000, 0.0220332000, 0.0220184000, 0.0220035000, 0.0219886000, 0.0219737000, 0.0219589000, 0.0219442000, 0.0219296000, 0.0219153000, 0.0219012000, 
2019-01-10, 0.0169433000, 0.0174796000, 0.0182070000, 0.0189344000, 0.0187611000, 0.0188638000, 0.0189354000, 0.0189865000, 0.0190233000, 0.0190498000, 0.0190690000, 0.0190828000, 0.0190930000, 0.0191008000, 0.0191074000, 0.0191135000, 0.0191199000, 0.0191272000, 0.0191359000, 0.0191464000, 0.0191591000, 0.0191743000, 0.0191921000, 0.0192128000, 0.0192365000, 0.0192633000, 0.0192932000, 0.0193262000, 0.0193624000, 0.0194017000, 0.0194440000, 0.0194892000, 0.0195373000, 0.0195881000, 0.0196415000, 0.0196974000, 0.0197556000, 0.0198159000, 0.0198782000, 0.0199422000, 0.0200079000, 0.0200751000, 0.0201434000, 0.0202128000, 0.0202831000, 0.0203541000, 0.0204256000, 0.0204974000, 0.0205694000, 0.0206413000, 0.0207131000, 0.0207845000, 0.0208553000, 0.0209255000, 0.0209949000, 0.0210632000, 0.0211305000, 0.0211966000, 0.0212613000, 0.0213245000, 0.0213862000, 0.0214462000, 0.0215044000, 0.0215608000, 0.0216152000, 0.0216677000, 0.0217181000, 0.0217664000, 0.0218125000, 0.0218564000, 0.0218981000, 0.0219376000, 0.0219748000, 0.0220097000, 0.0220423000, 0.0220726000, 0.0221007000, 0.0221265000, 0.0221500000, 0.0221714000, 0.0221906000, 0.0222076000, 0.0222225000, 0.0222354000, 0.0222462000, 0.0222551000, 0.0222622000, 0.0222674000, 0.0222708000, 0.0222725000, 0.0222726000, 0.0222712000, 0.0222682000, 0.0222639000, 0.0222582000, 0.0222513000, 0.0222433000, 0.0222341000, 0.0222240000, 0.0222129000, 0.0222010000, 0.0221884000, 0.0221750000, 0.0221611000, 0.0221466000, 0.0221317000, 0.0221164000, 0.0221009000, 0.0220851000, 0.0220692000, 0.0220531000, 0.0220371000, 0.0220211000, 0.0220052000, 0.0219895000, 0.0219740000, 0.0219588000, 0.0219439000, 0.0219294000, 0.0219153000, 
2019-01-11, 0.0169438000, 0.0174864000, 0.0181626000, 0.0188388000, 0.0185586000, 0.0186538000, 0.0187219000, 0.0187715000, 0.0188080000, 0.0188350000, 0.0188550000, 0.0188699000, 0.0188812000, 0.0188901000, 0.0188977000, 0.0189047000, 0.0189119000, 0.0189199000, 0.0189292000, 0.0189402000, 0.0189532000, 0.0189685000, 0.0189864000, 0.0190070000, 0.0190306000, 0.0190571000, 0.0190866000, 0.0191191000, 0.0191548000, 0.0191934000, 0.0192350000, 0.0192795000, 0.0193267000, 0.0193767000, 0.0194292000, 0.0194841000, 0.0195413000, 0.0196005000, 0.0196618000, 0.0197248000, 0.0197894000, 0.0198554000, 0.0199226000, 0.0199909000, 0.0200601000, 0.0201300000, 0.0202004000, 0.0202711000, 0.0203419000, 0.0204128000, 0.0204835000, 0.0205538000, 0.0206236000, 0.0206928000, 0.0207612000, 0.0208287000, 0.0208950000, 0.0209602000, 0.0210241000, 0.0210865000, 0.0211474000, 0.0212067000, 0.0212642000, 0.0213200000, 0.0213738000, 0.0214257000, 0.0214756000, 0.0215234000, 0.0215692000, 0.0216127000, 0.0216541000, 0.0216933000, 0.0217303000, 0.0217650000, 0.0217975000, 0.0218277000, 0.0218557000, 0.0218816000, 0.0219052000, 0.0219266000, 0.0219459000, 0.0219632000, 0.0219783000, 0.0219915000, 0.0220026000, 0.0220119000, 0.0220193000, 0.0220249000, 0.0220288000, 0.0220310000, 0.0220317000, 0.0220308000, 0.0220284000, 0.0220247000, 0.0220197000, 0.0220134000, 0.0220060000, 0.0219976000, 0.0219881000, 0.0219778000, 0.0219666000, 0.0219547000, 0.0219421000, 0.0219289000, 0.0219152000, 0.0219011000, 0.0218866000, 0.0218718000, 0.0218567000, 0.0218416000, 0.0218263000, 0.0218110000, 0.0217957000, 0.0217806000, 0.0217655000, 0.0217507000, 0.0217362000, 0.0217219000, 0.0217080000, 0.0216945000, 
2019-01-14, 0.0164926000, 0.0175074000, 0.0181835000, 0.0188597000, 0.0185131000, 0.0186096000, 0.0186780000, 0.0187281000, 0.0187658000, 0.0187949000, 0.0188178000, 0.0188364000, 0.0188521000, 0.0188660000, 0.0188789000, 0.0188916000, 0.0189046000, 0.0189185000, 0.0189337000, 0.0189505000, 0.0189693000, 0.0189901000, 0.0190134000, 0.0190391000, 0.0190674000, 0.0190984000, 0.0191321000, 0.0191685000, 0.0192077000, 0.0192496000, 0.0192942000, 0.0193414000, 0.0193911000, 0.0194433000, 0.0194977000, 0.0195544000, 0.0196131000, 0.0196737000, 0.0197361000, 0.0198001000, 0.0198656000, 0.0199324000, 0.0200003000, 0.0200692000, 0.0201389000, 0.0202093000, 0.0202801000, 0.0203512000, 0.0204224000, 0.0204936000, 0.0205646000, 0.0206353000, 0.0207055000, 0.0207751000, 0.0208439000, 0.0209118000, 0.0209786000, 0.0210443000, 0.0211087000, 0.0211717000, 0.0212332000, 0.0212931000, 0.0213513000, 0.0214077000, 0.0214623000, 0.0215150000, 0.0215656000, 0.0216142000, 0.0216608000, 0.0217052000, 0.0217474000, 0.0217874000, 0.0218253000, 0.0218608000, 0.0218942000, 0.0219253000, 0.0219541000, 0.0219807000, 0.0220051000, 0.0220273000, 0.0220474000, 0.0220653000, 0.0220811000, 0.0220949000, 0.0221067000, 0.0221165000, 0.0221244000, 0.0221305000, 0.0221348000, 0.0221373000, 0.0221383000, 0.0221376000, 0.0221355000, 0.0221319000, 0.0221270000, 0.0221208000, 0.0221134000, 0.0221049000, 0.0220953000, 0.0220848000, 0.0220735000, 0.0220613000, 0.0220484000, 0.0220349000, 0.0220209000, 0.0220063000, 0.0219914000, 0.0219762000, 0.0219607000, 0.0219450000, 0.0219292000, 0.0219134000, 0.0218976000, 0.0218819000, 0.0218663000, 0.0218509000, 0.0218358000, 0.0218210000, 0.0218066000, 0.0217926000, 
